academic institution,academic institution.N+Cortext3:s
centre of scientific discovery,centre of scientific discovery.N+Cortext3:s
centre of scientific discoveries,centre of scientific discovery.N+Cortext3:p
custom development for automation,custom development for automation.N+Cortext3:s
custom developments for automation,custom development for automation.N+Cortext3:p
customer service among university,customer service among university.N+Cortext3:s
customer service among universities,customer service among university.N+Cortext3:p
development of new projects,development of new projects.N+Cortext3:s
developments of new projects,development of new projects.N+Cortext3:p
development of new project,development of new project.N+Cortext3:s
development of new projects,development of new project.N+Cortext3:p
innovative product and solution,innovative product and solution.N+Cortext3:s
innovative products and solutions,innovative product and solution.N+Cortext3:p
new form of innovation,new form of innovation.N+Cortext3:s
new forms of innovation,new form of innovation.N+Cortext3:p
new form of innovations,new form of innovations.N+Cortext3:s
new forms of innovations,new form of innovations.N+Cortext3:p
new project and divestment,new project and divestment.N+Cortext3:s
new projects and divestments,new project and divestment.N+Cortext3:p
new way of working,new way of working.N+Cortext3:s
new ways of working,new way of working.N+Cortext3:p
plant of the future,plant of the future.N+Cortext3:s
plants of the future,plant of the future.N+Cortext3:p
r&d team,r&d team.N+Cortext3:s
r&d teams,r&d team.N+Cortext3:p
r & d team,r & d team.N+Cortext3:s
r & d teams,r & d team.N+Cortext3:p
re-organize business routine,re-organize business routine.N+Cortext3:s
re-organize business routines,re-organize business routine.N+Cortext3:p
real-time supply management,real-time supply management.N+Cortext3:s:p
research and industry customer,research and industry customer.N+Cortext3:s
research and industry customers,research and industry customer.N+Cortext3:p
restructuring of production process,restructuring of production process.N+Cortext3:s
restructuring of production processes,restructuring of production process.N+Cortext3:p
restructuring of worker skill,restructuring of worker skill.N+Cortext3:s
restructuring of worker skills,restructuring of worker skill.N+Cortext3:p
training virtual reality,training virtual reality.N+Cortext3:s
training virtual realities,training virtual reality.N+Cortext3:p
university and research institution,university and research institution.N+Cortext3:s
university and research institutions,university and research institution.N+Cortext3:p
